Título,Autor(a),ISBN,Género,Estado
Las manos cálidas de los fantasmas,Katherine Arden,9788410085008,Fantasy,Read
Heartless,Marissa Meyer,9789877472547,Fantasy,Read
El invitado de honor,Evelyn Aravena Ahumada,9789566228271,Mystery Thriller & Crime,Read
La Sangre Del Olimpo (Los héroes del Olimpo #5),Rick Riordan,9788490431276,Fantasy,Read
Los Años Dorados (La mansión de los chocolates #2),Maria Nikolai,9788418184123,Historical,Read
El valle de los lobos (Crónicas de la torre #1) Reedición,Laura Gallego,9788419099891,Fantasy,Read
Dos chicos besándose,David Levithan,9786313001804,Romance,Read
El Buzón de las Impuras,Francisca Solar,9789566196778,Historical,Read
Robot salvaje,Peter Brown,9789566232704,Dystopian,Read
Sangre de dioses,Belén Martínez,9788419252456,Fantasy,Read
La casa de Hades (Los héroes del Olimpo #4),Rick Riordan,9788490430910,Fantasy,Read
La Mansión de los Chocolates (La mansión de los chocolates #1),Maria Nikolai,9788418185243,Historical,Read
La Marca de Atenea (Los héroes del Olimpo #3),Rick Riordan,9788490430101,Fantasy,Read
Bluebells,Francisca Solar,9789564082691,Historical,Read
El extranjero,Albert Camus,9789566038276,Contemporary,Read
La habitación de Giovanni,James Baldwin,9789569043826,Contemporary,Read
Placeres mortales,Belén Martínez,9789566196730,Fantasy,Read
In Memoriam,Alice Winn,9788492919468,Historical,Read
El hijo de Neptuno (Los héroes del Olimpo #2),Rick Riordan,9789585828384,Fantasy,Read
Envuelto en tu noche,Mori Moyori,9788419610423,Romance,Read
Jaulas de seda (Marabilia #4),Iria G. Parente Selene M. Pascual,9788416858699,Fantasy,Read
La flor que parecía bailar,Saki Tsukahara,9788418776809,Romance,Read
El chico y el perro,Seishu Hase,9786073835718,Contemporary,Read
La casa en el mar más azul,T. J. Klune,9789566145165,Fantasy,Read
Asesinato entre libros (Colección Cozy Mistery #2),Kate Carlisle,9788418933622,Mystery Thriller & Crime,Read
El alma del brujo (El vals de la bruja #2),Belén Martínez,9788417854522,Fantasy,Read
Enebro & espina,Ava Reid,9786287632011,Fantasy,Read
La luz de la esperanza,Alan Hlad,9788467065633,Historical,Read
Joy #2,Etsuko,9786289535648,Romance,Read
Bajo la puerta de los susurros,T. J. Klune,9786287575127,Fantasy,Read
Lo que nos queda de mundo,Erik J. Brown,9788419275325,Dystopian,Read
Aquella vez en Berlín,María José Moreno,9788417451813,Historical,Read
Historias que dejan huellas - Quédense en la trinchera y luego corran,John Boyne,9789871997206,Historical,Read
El eco del destino (Time Keeper #1),Iria G. Parente Selene M. Pascual,9789566146315,Fantasy,Read
Liberación,Imogen Kealey,9789563607284,Historical,Read
Nunca me abandones,Kazuo Ishiguro,9788433970794,Dystopian,Read
La traidora,V.S. Alexander,9789563609561,Historical,Read
El pacifista,John Boyne,9788498385168,Historical,Read
Espíritus del Inframundo #3,Hiromu Arakawa,9788467960587,Fantasy,Read
Espíritus del Inframundo #2,Hiromu Arakawa,9788467960570,Fantasy,Read
Espíritus del Inframundo #1,Hiromu Arakawa,9788467960563,Fantasy,Read
La Segunda Guerra Mundial (II),Sir Winston Churchill,9788497342124,Non-Fiction,Read
La casa alemana,Annette Hess,9788408206767,Historical,Read
La coleccionista,Marie Benedict,9789564082127,Historical,Read
Lecciones de Química,Bonnie Garmus,9789566075349,Contemporary,Read
Qualia bajo la nieve,Kanna Kii,9788416960774,Romance,Read
Dear Gene #1,Kaya Azuma,9782382760000,Romance,Read
La única mujer,Marie Benedict,9789563605983,Historical,Read
Rivales Divinos (Letters of Enchantment #1),Rebecca Ross,9786289591804,Fantasy,Read
El Club de Lectura del Refugio Antiaéreo,Annie Lyons,9789564084534,Historical,Read
Trenza del mar Esmeralda,Brandon Sanderson,9788418037818,Fantasy,Read
El príncipe de los caballos,Stacy Gregg,9788418279096,Historical,Read
Chicas de nieve y cristal,Melissa Bashardoust,9789877474145,Fantasy,Read
Heartstopper 5,Alice Oseman,9786313001002,Romance,Read
Rumspringa,Kaya Azuma,9788412115178,Romance,Read
Dominación,C. J. Sansom,9788498729993,Historical,Read
El manual del adulto funcional,María José Castro,9789564080710,Non-Fiction,Read
La niña polaca,Mónica Rojas,9789562586535,Historical,Read
La loba y el leñador,Ava Reid,9786287565333,Fantasy,Read
La Traición de Camelot,Kiersten White,9788417854423,Fantasy,Read
La ciudad al atardecer. El país de los cerezos,Fumiyo Kouno,9788483572399,Historical,Read
Los nombres prestados,Verónica Sukaczer,9789871997220,Historical,Read
Restart After Come Back Home,Cocomi,9788418788185,Romance,Read
Restart After Growing Hungry,Cocomi,9788418788949,Romance,Read
"¡No te rindas, Nakamura!",Syundei,9788418222160,Romance,Read
La cinta roja,Lucy Adlington,9789563608045,Historical,Read
La hija de la diosa de la luna,Sue Lynn Tan,9788416517862,Fantasy,Read
Los Doce Dias de Dash & Lily,Rachel Cohn,9788417854041,Romance,Read
Héroes de la aviación Que Cambiaron el Mundo,Jade Sarson,9789463593786,Non-Fiction,Read
Ve y pon un Centinela,Harper Lee,9788491390572,Historical,Read
Tweeling #1,Emina Himesama,9789566034445,Romance,Read
Has llamado a Sam,Dustin Thao,9788418539862,Romance,Read
La Escuela de las Novias Nazis,Aimie K. Runyan,9789564083759,Historical,Read
Relatos de Torrealta,Danitza Eterovic,9798842797271,Fantasy,Read
La temporada de las apariciones,VV. AA,9788416517923,Mystery Thriller & Crime,Read
Los Fantasmas Favoritos de Roald Dahl,Roald Dahl,9788419654212,Literary,Read
Matar a un ruiseñor,Harper Lee,9788417216948,Historical,Read
Imperio,Iria G. Parente Selene M. Pascual,9788419621009,Dystopian,Read
Buenos presagios,Neil Gailman,9789569957017,Fantasy,Read
La Guerra de los Mundos,Wells H.G,9789563164411,Literary,Read
Luisa 1912,Daniela Viviani,9789566165569,Historical,Read
Los secretos de la biblioteca de la Quinta Avenida,Fiona Davis,9789569973420,Historical,Read
Ríos de Londres,Ben Aaronovitch,9788416224463,Fantasy,Read
La Guerra de la Pólvora (Temerario #3),Naomi Novik,9789566196198,Fantasy,Read
Heroes de los Inventos Que Cambiaron el Mundo,Pete Katz,9789463593755,Non-Fiction,Read
La modista de paris,Georgia Kaufmann,9788416517848,Historical,Read
La pequeña librería de los corazones solitarios,Annie Darling,9788416622931,Romance,Read
El Vals de la Bruja (El vals de la bruja #1),Belén Martínez,9788417854287,Fantasy,Read
Cuando Hitler robó el conejo rosa,Judith Kerr,9789504643746,Historical,Read
Los enclaves dorados,Naomi Novik,9789566196341,Fantasy,Read
La Joven del Pelo Rojo,Buzzy Jackson,9789566190189,Historical,Read
El gato que amaba los libros,Sosuke Natsukawa,9789585127579,Fantasy,Read
La Batalla de las Ardenas,Wayne Vansant,9788491641728,Non-Fiction,Read
Normandía: Una Historia Gráfica del Día-D,Wayne Vansant,9788490608531,Non-Fiction,Read
El Bombardeo de la Alemania Nazi (Historia Gráfica),Wayne Vansant,9788491641742,Non-Fiction,Read
El Barón Rojo (Historia Gráfica),Wayne Vansant,9788491641384,Non-Fiction,Read
Héroes de la Ciencia que Cambiaron el Mundo,Dave Shephard,9789463593847,Non-Fiction,Read
El chico de las estrellas (Edición Ilustrada),Chris Pueyo,9788408260172,Romance,Read
Héroes del espacio,Vince Sohn,9789463593816,Non-Fiction,Read
Por qué nos encantan los gatos,Mónica Marelli,9789566017042,Non-Fiction,Read
El último graduado,Naomi Novik,9789567042746,Fantasy,Read
Invisible,Eloy Moreno,9788416588435,Contemporary,Read
Una educación mortal,Naomi Novik,9789567042548,Fantasy,Read
Cumbres borrascosas,Emily Brontë,9788415618898,Literary,Read
Hierba,Keum Suk Gendry-Kim,9788418052071,Historical,Read
La espera,Keum Suk Gendry-Kim,9788418897771,Historical,Read
Joy #1,Etsuko,9786289529258,Romance,Read
El adversario,Emmanuel Carrère,9788433977151,Mystery Thriller & Crime,Read
El ciclo del eterno emperador,Laura Gallego,9788418594991,Fantasy,Read
Las batallas silenciadas,Nieves Muñoz,9788435047241,Historical,Read
La muerte de las cuatro reinas,Astrid Scholte,9788417361785,Fantasy,Read
Los testamentos,Margaret Atwood,9788498389494,Dystopian,Read
Loveless,Alice Oseman,9789877477993,Contemporary,Read
El mayor Pettigrew se enamora,Helen Simonson,9788498383812,Romance,Read
Cómo conocí a mi marido,Ryosuke Nanasaki,9788419290298,Romance,Read
Hooky (Hooky #2),Míriam Bonastre Tur,9788427051065,Fantasy,Read
Brothersong (Green Creek #4),T. J. Klune,9789877478136,Fantasy,Read
El jardín secreto,Frances Hodgson Burnett,9789566180036,Literary,Read
El cuento de la criada,Margaret Atwood,9788498388015,Dystopian,Read
El Regreso de Carrie Soto,Taylor Jenkins Reid,9789566196020,Contemporary,Read
La chica del abrigo azul,Monica Hesse,9786073151245,Historical,Read
Suite Francesa (Novela Gráfica),Irène Némirovsky,9788416131150,Historical,Read
El Trono de jade (Temerario #2),Naomi Novik,9789566196013,Fantasy,Read
Voces de Chernóbil,Svetlana Alexiévich,9789569545191,Non-Fiction,Read
Éramos el enemigo ,George Takei,9788413416007,Historical,Read
Un chico y su perro en el fin del mundo,C.A. Fletcher,9788445008317,Dystopian,Read
Ladrones de libertad (Marabilia #3),Iria G. Parente Selene M. Pascual,9788416858125,Fantasy,Read
Pétalos de Papel,Iria G. Parente Selene M. Pascual,9788427227200,Fantasy,Read
Títeres de magia (Marabilia #2),Iria G. Parente Selene M. Pascual,9788494527739,Fantasy,Read
Los Amantes de Praga,Alyson Richman,9786070740145,Historical,Read
La Canción de Las Hermanas,Rebecca Ross,9788417854164,Fantasy,Read
La misión de Rox (Guardianes de la Ciudadela 3),Laura Gallego,9788417460655,Fantasy,Read
Los dos Amores de mi Vida,Taylor Jenkins Reid,9789567042944,Contemporary,Read
El Secreto de Xein (Guardianes de la Ciudadela 2),Laura Gallego,9788419169785,Fantasy,Read
Mujeres Que Nacieron Diferentes,Anna Riera,9788415256755,Non-Fiction,Read
La niña que miraba los trenes partir,Ruperto Long,9789974748484,Historical,Read
El bestiario de Axlin (Guardianes de la Ciudadela #1),Laura Gallego,9789585407428,Fantasy,Read
All Night Long,Muno,9788418788086,"Contemporary, Romance",Read
Mitos De La Segunda Guerra Mundial #2,Jean Lopez,9789500209571,Non-Fiction,Read
La Luz Que No Puedes Ver,Anthony Doerr,9788466333849,Historical,Read
Los Siete Maridos de Evelyn Hugo,Taylor Jenkins Reid,9789567042517,Contemporary,Read
Dime quién soy,Julia Navarro,9788466353946,Historical,Read
El oso y el ruiseñor,Katherine Arden,9788417834173,Fantasy,Read
Historia en Segundos,Sandra Lawrence,9789463594257,Non-Fiction,Read
Sueños de piedra,Iria G. Parente Selene M. Pascual,9788494335471,Fantasy,Read
El Orgullo del Dragón (El dragón y el unicornio #1),Iria G. Parente Selene M. Pascual,9788416858866,Fantasy,Read
El Dragón de Su Majestad (Temerario #1),Naomi Novik,9789566196006,Fantasy,Read
Anne sin filtros,Iria G. Parente Selene M. Pascual,9789878120096,Contemporary,Read
Los por qué de la historia 3,Stephane Bern,9789500299824,Non-Fiction,Read
Sabemos cómo vamos a morir,Paco Ignacio Taibo II,9789564080116,Non-Fiction,Read
Los por qué de la historia 2,Stephane Bern,9789500298872,Non-Fiction,Read
¿Quién traicionó a Ana Frank?: La investigación que revela el secreto jamás contado,Rosemary Sullivan,9788491396215,Non-Fiction,Read
Tiempo de resurgir (La mansión #3),Anne Jacobs,9788401024832,Historical,Read
El Cuaderno de Desafios de Dash & Lily,Rachel Cohn,9788492918928,Romance,Read
Los niños de Willesden Lane,Mona Golabek,9788418027048,Historical,Read
Sherlock Holmes Tomo iii. Obra Completa,Arthur Conan Doyle,9788497944410,Literary,Read
Perdida,Gillian Flynn,9789877251883,Mystery Thriller & Crime,Read
Viajeros Intrepidos,Montse Ganges,9788483432495,Non-Fiction,Read
Una promesa de cien años,María Ignacia Urzúa Reyes,9789564061207,Fantasy,Read
Marte: La Próxima Frontera,José Maza,9789566165262,Non-Fiction,Read
Criminales nazis del exterminio,Ernesto Frers,9788499173122,Non-Fiction,Read
Fugas y Evasiones de La Segunda Guerra Mundial,Pedro Pablo G. May,9788499173849,Non-Fiction,Read
Ladrona de Libros,Markus Zusak,9588820421,Historical,Read
El pecador de Oxford,Mar Petryk,9789564082028,Mystery Thriller & Crime,Read
La Segunda Guerra Mundial (I),Sir Winston Churchill,9788497340250,Non-Fiction,Read
Invierno en tiempo de guerra,Jan Terlouw,9788417222093,Historical,Read
Sin novedad en el frente,Erich Maria Remarque,9788435018357,Historical,Read
El hombre de tiza,C.J. Tudor,9788466350471,Mystery Thriller & Crime,Read
Antología de cuentos cortos,VV. AA,9788418008078,Literary,Read
Historias Chilenas de Fantasmas,César Parra,9789566063612,Fantasy,Read
La historia secreta del Día D: La verdad sobre los superespías que engañaron a Hitler,Ben Macintyre,9789879317440,Non-Fiction,Read
La Casa del Propósito Especial,John Boyne,9788498383003,Historical,Read
Quédense en la trinchera y luego corran,John Boyne,9789569476006,Historical,Read
El niño con el pijama de rayas,John Boyne,9789878000381,Historical,Read
La Lección De August,R. J. Palacio,9781949061871,Contemporary,Read
Hubo una vez una guerra (bolsillo),John Steinbeck,9788435018746,Non-Fiction,Read
Ariadna,Jennifer Saint,9789567042623,Fantasy,Read
Tiempos de tormenta (La mansión #2),Anne Jacobs,9788401024269,Historical,Read
La sociedad literaria y del pastel de piel de patata Guernsey,Mary Ann Shaffer,9788498388770,Historical,Read
