Título,Autor(a),ISBN,Género,Estado
Una furia de alas negras (Skybound #1),Alex London,9788492918447,Fantasy,Not Read
Y vendrá la oscuridad (The Age of Darkness #1),Katy Rose Pool,9788416517244,Fantasy,Not Read
Bajo la luz mortal (The Age of Darkness #3),Katy Rose Pool,9788416517701,Fantasy,Not Read
La traición de Montverre,Bridget Collins,9788416517718,Fantasy,Not Read
La orden del dragón,Jean Bennet,9788492918812,Fantasy,Not Read
Un linaje oscuro (Las Crónicas de Ravenswood #1),Victoria Vílchez,9786077484424,Fantasy,Not Read
La traición del halcón (The merciful crow #2),Margaret Owen,9788417854003,Fantasy,Not Read
La misericordia del cuervo (The merciful crow #1),Margaret Owen,9788492918621,Fantasy,Not Read
La página en llamas (La biblioteca invisible #3),Genevieve Cogman,9786077485179,Fantasy,Not Read
La ciudad enmascarada (La biblioteca invisible #2),Genevieve Cogman,9786077484301,Fantasy,Not Read
La biblioteca invisible (La biblioteca invisible #1),Genevieve Cogman,9788416517541,Fantasy,Not Read
Hotel Magnifique,Emily J. Taylor,9788417854942,Fantasy,Not Read
Juntos en la hoguera,Isabel Ibañez,9788417854874,Fantasy,Not Read
Un corazón obstinado (The Tithenai Chronicles #1),Foz Meadows,9788419030269,Fantasy,Not Read
Una gloria retorcida (This Woven Kingdom #3) ,Tahereh Mafi,9788410239227,Fantasy,Not Read
Un hilo infinito (This Woven Kingdom #2),Tahereh Mafi,9788419252753,Fantasy,Not Read
Una jaula de hilso dorados (Hilos de magia #2),Vanessa R. Migliore,9788419252098,Fantasy,Not Read
La ciudad de la muerte (Hilos de magia #1),Vanessa R. Migliore,9786077484486,Fantasy,Not Read
Dos chicas en los confines del mundo,Laura Brooke Robson,9786077487227,Fantasy,Not Read
El elegido (Trilogía El contendiente #1),Taran Matharu,9788419030283,Fantasy,Not Read
En busca del alba (Desafía la noche #2),Brigid Kemmerer,9788419252319,Fantasy,Not Read
El elixir de flor de luna (Desafía la noche #1),Brigid Kemmerer,9788417854652,Fantasy,Not Read
En tierras lejanas (Deverill Chronicles #5),Santa Montefiore,9788417421892,Historical,Not Read
"Tinta, sangre, hermana, escriba",Emma Törzs,9788419030627,Fantasy,Not Read
Un mundo oscuro (Shades of Rust and Ruin #1),A. G. Howard,9786077487333,Fantasy,Not Read
Una promesa audaz y mortal (Cursebreakers #3),Brigid Kemmerer,9788417854409,Fantasy,Not Read
Un corazón valiente y roto (Cursebreakers #2),Brigid Kemmerer,9788492918959,Fantasy,Not Read
Una maldición oscura y solitaria (Cursebreakers #1),Brigid Kemmerer,9788492918461,Fantasy,Not Read
La ciudad de bronce (The Daevabad Trilogy #1),Shannon Chakraborty,9786077487050,Fantasy,Not Read
Forjemos estrellas de plata (Forjemos estrellas de plata #1),Brigid Kemmerer,9788417854980,Fantasy,Not Read
El secreto del río (Secretos del Nilo #1),Isabel Ibañez,9788419252678,Fantasy,Not Read
El reino de cobre (The Daevabad Trilogy #2),Shannon Chakraborty,9788419030993,Fantasy,Not Read
El jardín de los malditos (Cursebreaker #1),Katy Rose Pool,9788419252708,Fantasy,Not Read
El beso de las nocturnas,Kate Armstrong,9788419252432,Fantasy,Not Read
Darkhearts,James L. Sutter,9788419252746,Romance,Not Read
Caza de brujas,Stacey Thomas,9788410085107,Fantasy,Not Read
Hechicera de huesos. El amanecer (Bone Grace #2),Kathryn Purdie,9788410239265,Fantasy,Not Read
Hechicera de huesos (Bone Grace #1),Kathryn Purdie,9788419252982,Fantasy,Not Read
La corte de la Alta Montaña (Las cinco coronas de Okrith #1),A.K. Mulford,9788419030382,Fantasy,Not Read
Las heroínas,Melissa Grey,9788419252876,Fantasy,Not Read
A mi propio ritmo,Stefany Ramírez,9789564087023,Autoayuda,Not Read
Muerte y fortuna (Pequeños ladrones #1),Margaret Owen,9788417854539,Fantasy,Not Read
Mentiras a Medianoche (Forgotten Gods Series #1),Marie Rutkoski,9788419252265,Fantasy,Not Read
Mis tardes en el pequeño café de Tokio,Michiko Aoyama,9789564087740,Literary,Not Read
Aquellos Que Estamos Destinados a Encontrar,Joan He,9788419252586,SciFi,Not Read
El vals de la bruja (Edición limitada),Belén Martínez,9788410239081,Fantasy,Not Read
Bestias y Bellas: Doce Cuentos de Hadas Tenebrosos,Soman Chainani,9788419252821,Fantasy,Not Read
Cuando me llames por mi nombre,Tucker Shaw,9788417854959,Romance,Not Read
Misterio en Egipto (Colección Cozy Mistery #22),Elizabeth Petters,9788419599551,Mystery Thriller & Crime,Not Read
Un sueño compartido,Anna-Marie McLemore,9788419130228,Romance,Not Read
Las encorsetadoras (El lenguaje de la magia #1),Cari Thomas,9788416517473,Fantasy,Not Read
Una Ilusion De Venganza,Ana Trigo,9788419030955,Fantasy,Not Read
El Dios De Los Finales,Jacqueline Holland,9788492919246,Fantasy,Not Read
Noctem: La Ciudad de los muertos,Alyssa Wees,9786077487067,Fantasy,Not Read
La tejedora del viento (El reino de los vestigios #1),Julie Johnson,9788419988577,Fantasy,Not Read
Zhara (Guardians of Dawn #1),S. Jae-Jones,9788419252555,Fantasy,Not Read
Portador del sol (Asesina de dioses #2),Hannah Kaner,9788410085183,Fantasy,Not Read
La última sonrisa en Sunder City (Serie Los archivos de Fetch Phillips #1),Luke Arnold,9788412299236,Fantasy,Not Read
La isla de los dioses (La isla de los dioses #1),Amie Kaufman,9788419252548,Fantasy,Not Read
Las señoritas del circo secreto,Constance Sayers,9788410085145,Fantasy,Not Read
La cruel mirada de los dioses (Gods Beyond the Skies #1),Molly X. Chang,9788410163485,Fantasy,Not Read
Una ventana a la oscuridad (The Shepherd King #1),Rachel Gillig,9788410163850,Fantasy,Not Read
Una verdad mortal (The Last Binding #2),Freya Marske,9786313002368,Fantasy,Not Read
Un delirio encantador,Shea Ernshaw,9788410239395,Fantasy,Not Read
Se acabó el cuento (Colección Cozy Mistery #28),Elizabeth Penney,9788410206335,Mystery Thriller & Crime,Not Read
Nuevos comienzos. Un retelling de Mujercitas,Bethany C. Morrow,9788419130112,Literary,Not Read
Imperio de Sombra y Tormento (Bilogía Hikari #1),Paula Gallego,9788410085602,Fantasy,Not Read
La sociedad de los siete ojos,Derek Milman,9788410239036,Mystery Thriller & Crime,Not Read
La bailarina italiana,Kristy Cambron,9788419939654,Historical,Not Read
El código secreto,Sara Ackerman,9788419939661,Historical,Not Read
El Dios en Llamas (La guerra de la Amapola #3),R.F. Kuang,9788419266927,Fantasy,Not Read
Luna de agua,Samantha Sotto Yambao,9788492919833,Fantasy,Not Read
El bosque Birnam,Eleanor Catton,9788492919642,Mystery Thriller & Crime,Not Read
La pequeña librería de los secretos,Jenny Colgan,9788410080935,Literary,Not Read
Una tormenta de Té,Hafsah Faizal,9788410163157,Fantasy,Not Read
Las cortes inmortales,A. M. Strickland,9788410239043,Mystery Thriller & Crime,Not Read
Un rey de invierno,Juan Arcones,9788410050259,Romance,Not Read
Un rey de verano,Juan Arcones,9788419848697,Romance,Not Read
La ciudad colgante,Charlie N. Holmberg,9788418509902,Fantasy,Not Read
Las chicas Grimrose,Laura Pohl,9789877479539,Fantasy,Not Read
Muerte entre Muffins de Arándanos (Colección Cozy Mistery #25),Joanne Fluke,9788410206298,Mystery Thriller & Crime,Not Read
Heartbreak Point,Juan Arcones,9788410298712,Romance,Not Read
Camino de huesos (De las cenizas #1),Demi Winters,9788427246775,Fantasy,Not Read
Una alquimia oscura (Crónicas de los hermanos Vincentt #1),Kristen Cárcamo,9789566257059,Fantasy,Not Read
El reino de los secretos (Graceling #3),Kristin Cashore,9789566196372,Fantasy,Not Read
El último monstruo (Graceling #2),Kristin Cashore,9789566196266,Fantasy,Not Read
Pétalos de papel (Edición Limitada),Iria G. Parente Selene M. Pascual,9788427246836,Fantasy,Not Read
Given #9,Natsuki Kizu,9788419914668,Romance,Not Read
Given #8,Natsuki Kizu,9788419536822,Romance,Not Read
Given #6,Natsuki Kizu,9788418222788,Romance,Not Read
Érase una vez un rebelde (Serie Calaveras Redimidas #2),Mary Jo Putney,9788416327911,Historical,Not Read
Érase una vez un canalla (Serie Calaveras Redimidas #3),Mary Jo Putney,9788417421311,Historical,Not Read
Las manos cálidas de los fantasmas (Edición Exclusiva),Katherine Arden,9788410085091,Fantasy,Not Read
Humo Blanco,Tiffany D. Jackson,9788419252005,Fantasy,Not Read
Reino de Garras (De las cenizas #2),Demi Winters,9788427247864,Fantasy,Not Read
Amanecer de Onyx (The Sacred Stones Trilogy #1),Kate Golden,9788419030863,Fantasy,Not Read
La canción de la cazadora,Lucy Holland,9788410085152,Fantasy,Not Read
Las sirenas,Emilia Hart,9788410085473,Fantasy,Not Read
Vuelo hacia la libertad,Alice Hoffman,9786313003419,Historical,Not Read
Una marea oscura y letal,Allison Saft,9788410085428,Fantasy,Not Read
Te receto un gato,Syou Ishida,9789564087559,Literary,Not Read
Un cadáver en Baker Street (Colección Cozy Mistery #19),Vicky Delany,9788419599599,Mystery Thriller & Crime,Not Read
Un trato con el diablo,Gabe Cole Novoa,9788410239340,Fantasy,Not Read
Reina del Estío,Carmen Romero Lorenzo,9788410085534,Fantasy,Not Read
Ruinas y sombras,Andrés Astasio,9788410239326,Fantasy,Not Read
Cartas de otro mundo,Emily J. Taylor,9788410239357,Fantasy,Not Read
La pelirroja de Auschwitz,Nechama Birnbaum,9789569973925,Historical,Not Read
La niña salvaje,Kristin Hannah,9786289689136,Literary,Not Read
Fuera de circulación (Colección Cozy Mistery #24),Miranda James,9788419599728,Mystery Thriller & Crime,Not Read
Frutos (Larga vida al rey #3),Irene Morales,9788410085459,Fantasy,Paused
Nuestra desquiciada historia de amor,Jandy Nelson,9789566402008,Literary,Not Read
Noche de caballeros,Olivie Blake,9788410239104,Fantasy,Not Read
Victoria (Premio Planeta 2024),Paloma Sanchez Garnica,9789564086767,Historical,Not Read
Érase una vez un soldado (Serie Calaveras Redimidas #1),Mary Jo Putney,9788416327720,Historical,Not Read
El perro que seguía las estrellas,Solyom Anna,9786313002474,Literary,Not Read
El circo de la noche,Erin Morgenstern,9788419030337,Fantasy,Not Read
Las aventuras de Finlay Ashowan (De Brujas y banquetes #1),Emilie Nikota,9788410085541,Fantasy,Not Read
Asalto Medici,Caitlin Schneiderhan,9788410239302,Literary,Not Read
La vieja familia (La saga de los longevos #1),Eva García Sáenz de Urturi,9789504989332,Mystery Thriller & Crime,Not Read
10 cosas que nunca pasaron,Alexis Hall,9786313002269,Romance,Not Read
Quitral,Javi Zanelli,9789566386407,Terror,TBR
Given #3,Natsuki Kizu,9788417820640,Romance,Not Read
Given #2,Natsuki Kizu,9788417820466,Romance,Not Read
Given #7,Natsuki Kizu,9788419195517,Romance,Not Read
Given #5,Natsuki Kizu,9788418222108,Romance,Not Read
Given #4,Natsuki Kizu,9788417820800,Romance,Not Read
Recuerda aquella vez,Adam Silvera,9788416622672,Romance,Not Read
Los ecos del silencio,Bridget Collins,9788492919628,Literary,Not Read
Los amantes de Auschwitz,Keren Blankfeld,9786287737143,Historical,Not Read
La decimotercera hija,Erin A. Craig,9788410239234,Fantasy,Not Read
Blanca Navidad y café negro (Colección Cozy Mistery #20),Cleo Coyle,9788410206182,Mystery Thriller & Crime,Not Read
La clínica de los no muertos,Vivian Shaw,9788410085213,Fantasy,Not Read
Mi nombre es Morgana,Sophie Keetch,9788410085251,Fantasy,Not Read
The lighting thief (Percy Jackson and The Olimpyans #1),Rick Riordan,9781368051477,Fantasy,Not Read
Coronas Malditas (Coronas Gemelas #2),Catherine Doyle,9788419266279,Fantasy,Not Read
Un asesino en las puertas (Una llama en las cenizas #3),Sabaa Tahir,9788410085169,Fantasy,Not Read
Lengua de dragones (A Language of Dragons #1),S.F. Williamson,9789566075912,Fantasy,Not Read
Un verano en el campamento,Elena Malisova,9789569995668,Romance,Not Read
Sonó un violín en Paris,María Reig,9789569973697,Historical,Not Read
Cuentos victorianos de fantasmas para Navidad,VV. AA,9788445018361,Literary,Not Read
El mago Allen,Ezer. A. Fuentes,9789564064574,Fantasy,Not Read
La ladrona de la corona,Alexandra Valeria,9789566386544,Fantasy,Not Read
El Libro Maldito de Láruna: Las Batallas Divinas,C.F. Pizant,9789566021377,Fantasy,Not Read
Siluetas en la penumbra,C. Nozomi,9789566386520,Fantasy,Not Read
Frankie,J.M. Gutsch & Maxim Leo,9789566291695,Literary,Not Read
Less está perdido,Andrew Sean Greer,9789586891608,Literary,Not Read
El Gato que Cuidaba las Bibliotecas,Sosuke Natsukawa,9789562586726,Fantasy,Not Read
Leyendas de Kalomaar: El Medallón del Sol Negro,Alberto Rojas M.,9789566386698,Fantasy,Not Read
Ápohnin. Destino Radiante,J. J. Torrico,9789566183747,Fantasy,Not Read
En el oscuro corazón del bosque,Naomi Novik,9788419030764,Fantasy,Not Read
Wisteria (Belladonna #3),Adalyn Grace,9786075928388,Fantasy,Not Read
Todas las hijas perdidas (Todas las criaturas oscuras #3),Paula Gallego,9788410239128,Fantasy,Not Read
Lady Macbeth,Ava Reid,9788410085299,Fantasy,Not Read
La balada de tres lunas,Marta Morillo,9788419939548,Fantasy,Not Read
Los malos,Melissa Albert,9788410085077,Fantasy,Not Read
La fortaleza,Javi Zanelli,9789566183617,Dystopian,TBR
Los extraordinarios (The Extraordinaries #1),T. J. Klune,9786313000449,Fantasy,Not Read
Final de capítulo (Colección Cozy Mistery #21),Eliabeth Penney,9788410206045,Mystery Thriller & Crime,Not Read
noviembre 1942,Peter Englund,9788419399175,Non-Fiction,Not Read
Larga vida al mal,Long Live Evil,9788410085268,Fantasy,Not Read
Alguien descubrió el pastel (Colección Cozy Mistery #17),Krista Davis,9788419599827,Mystery Thriller & Crime,Not Read
La guerra de Inge,Svenja O'Donnell,9788491992455,Non-Fiction,Not Read
El misterioso caso del impostor del Titanic,Carmen Posadas,9789569973666,Mystery Thriller & Crime,Not Read
Países de origen,Javier Fuentes,9788492919314,Literary,Not Read
Escape de Viena,Weina Dai Randel,9788419767301,Historical,Not Read
El violín de Goebbels,Yoann Iacono,9788419004352,Historical,Not Read
El complejo de Atlas (Seis de Atlas #3),Olivie Blake,9788419030894,Fantasy,Not Read
El hijo del Reich,Rafael Tarradas Bultó,9789569973659,Historical,Not Read
Sangre y espina (Pequeños ladrones #2),Margaret Owen,9788419252210,Fantasy,Not Read
Al final muere el primero,Adam Silvera,9789566196204,Romance,Not Read
La luna del cazador,Costa Alcalá,9788419030719,Fantasy,Not Read
El bosque Grimm (The Forest Grimm duology #1),Kathryn Purdie,9788419252562,Fantasy,Not Read
Mareas curiosas (Drowned Gods #1),Pascale Lacelle,9788410163133,Fantasy,TBR
El niño que perdió la guerra,Julia Navarro,9789566129738,Historical,Not Read
La maldición del maestro (Crónicas de la torre #2) Reedición,Laura Gallego,9788419099907,Fantasy,Not Read
La llamada de los muertos (Crónicas de la torre #3) Reedición,Laura Gallego,9788419099914,Fantasy,Not Read
"Fenris, el elfo (Crónicas de la torre #4) Reedición",Laura Gallego,9788419099921,Fantasy,Not Read
"Tuyo, con pasión (Retelling de Orgullo y Prejuicio)",Gabe Cole Novoa,9788419130303,Romance,Not Read
Paint,Lee Hee young,9788412725940,SciFi,Not Read
Ryan y Avery,David Levithan,9786313001934,Romance,Not Read
Por nosotros,Becky Albertalli,9788417854485,Romance,Not Read
Espérame,Santa Montefiore,9788419131294,Historical,Not Read
El trono de fuego (Las crónicas de Kane #2),Rick Riordan,9789585758070,Fantasy,Not Read
La sombra de la serpiente (Las crónicas de Kane #3),Rick Riordan,9789585828308,Fantasy,Not Read
Las hermanas Mitford,Marie Benedict,9789564085944,Historical,Not Read
La ciudad del polvo de estrellas,Gerogia Summers,9786289591996,Fantasy,Not Read
El secreto de Paris,Natasha Lester,9788418711824,Historical,Not Read
Todas las reinas malditas (Todas las criaturas oscuras #2),Paula Gallego,9788419252661,Fantasy,Not Read
Mi probable favorito,Juan Arcones,9786073862981,Romance,Not Read
La guardiana de las habitaciones encantadas (Whimbrel House #1),Charlie N. Holmberg,9788418509803,Fantasy,Not Read
En busca de la magia,F.T. Lukens,9788419252616,Fantasy,Not Read
El Pequeño Estudio de los Recuerdos Perdidos,Sanaka Hiiragi,9788425366079,Contemporary,Not Read
Atalanta,Jennifer Saint,9788419030344,Fantasy,Not Read
Conjuro de luz (Los colores de la magia #3),Victoria Schwab,9788419030498,Fantasy,Not Read
40 Abrigos y un Botón,Ivan Sciapeconi,9788419743688,Historical,Not Read
Bajo la luz de las estrellas,Caleb Roehrigh,9788419130143,Romance,Not Read
Jane Eyre - Edición Especial,Charlotte Brontë,9788419688132,Literary,Not Read
Pesadilla,Hans Fallada,9788416363773,Historical,Not Read
El mapa de Emily Wilde de las Tierras Extrañas (Emily Wilde Enciclopedia de Hadas #2 ),Heather Fawcett,9788419030986,Fantasy,Not Read
La Batalla de Occidente,Eric Vuillard,9789569961144,Historical,Not Read
La esencia de nuestras almas,Tasha Suri,9788419130129,Romance,Not Read
Una detective con olfato (Colección Cozy Mistery #15),Krista Davis,9788419599414,Mystery Thriller & Crime,Not Read
A de asesinato (Colección Cozy Mistery #13),Miranda James,9788419599452,Mystery Thriller & Crime,Not Read
Elemental querida lectora (Colección Cozy Mistery #8),Vicki Delany,9788419599568,Mystery Thriller & Crime,Not Read
Una espia muy real (Colección Cozy Mistery #16),Rhys Bowen,9788419599483,Mystery Thriller & Crime,Not Read
Punto Letal (Colección Cozy Mistery #14),Sally Goldenbaum,9788419599490,Mystery Thriller & Crime,Not Read
Mi amiga Anne Frank,Hannah Pick-Goslar,9788401032172,Non-Fiction,Not Read
Fraternity,Andy Mientus,9786289591828,Fantasy,Not Read
Wonder. La Lección de August (Edición Ilustrada con Capítulos Extra),R. J. Palacio,9788418050299,Contemporary,Not Read
El beso de la realeza,Lindsey Duga,9788417886912,Fantasy,Not Read
Lo que Nunca te han Contado del día D,Pere Cardona,9788417333560,Non-Fiction,Not Read
Cazadores de Nazis,Damien Lewis,9789879317976,Non-Fiction,Not Read
Harry Potter y el Misterio del Príncipe (Harry Potter - Edición 20th Aniversario #6),J.K Rowling,9788418797019,Fantasy,Not Read
Harry Potter y La orden del Fénix (Harry Potter - Edición 20th Aniversario #5),J.K Rowling,9788418174650,Fantasy,Not Read
Harry Potter y El cáliz de fuego (Harry Potter - Edición 20th Aniversario #4),J.K Rowling,9788418174582,Fantasy,Not Read
Harry Potter y las Reliquías de la Muerte (Harry Potter - Edición 20th Aniversario #7),J.K Rowling,9788418797095,Fantasy,Not Read
Harry Potter y El prisionero de Azkaban (Harry Potter - Edición 20th Aniversario #3),J.K Rowling,9788418174087,Fantasy,Not Read
Harry Potter y La cámara secreta (Harry Potter - Edición 20th Aniversario #2),J.K Rowling,9788498389746,Fantasy,Not Read
Harry Potter y La piedra filosofal (Harry Potter - Edición 20th Aniversario #1),J.K Rowling,9788498388923,Fantasy,Not Read
Proyecto Moisés,I. Biggi,9788435062855,Historical,Not Read
Big red one. Un rojo división de choque,Samuel Füller,9788435062718,Historical,Not Read
Las chicas desaparecidas de París,Pan Jenoff,9788491394167,Historical,Not Read
La biblioteca de los sueños imposibles,Lin Rina,9788418417849,Historical,Not Read
El niño del tren,Paolo Casadio,9789876285032,Historical,Not Read
El castillo a través del espejo,Mizuki Tsujimura,9786289564983,Fantasy,Not Read
La prisionera de Vallenia (The prison Healer #2),Lynette Noni,9788419252043,Fantasy,Not Read
Orgullo y prejuicio (Edición Blanco y negro),Jane Austen,9786289584219,Classic,Not Read
La batalla por los puentes,Antony Beevor,9789874479136,Non-Fiction,Not Read
Dresde,Sinclair McKay,9789589219935,Non-Fiction,Not Read
Últimos testigos,Svetlana Alexiévich,9789873752582,Non-Fiction,Not Read
Ortiga y hueso,T. Kingfisher,9788412669794,Fantasy,Not Read
Un Concilio de sombras (Los colores de la magia #2),Victoria Schwab,9788419030504,Fantasy,Not Read
Una magia más oscura (Los colores de la magia #1),Victoria Schwab,9788419030481,Fantasy,Not Read
Un capuchino mortal (Colección Cozy Mistery #4),Creo Coyle,9788419599391,Mystery Thriller & Crime,Not Read
Unas galletas de muerte (Colección Cozy Mistery #1),Joanne Fluke,9788418933615,Mystery Thriller & Crime,Not Read
Una muerte de libro (Colección Cozy Mistery #5),Miranda James,9788419599384,Mystery Thriller & Crime,Not Read
Mentiras encubiertas (Colección Cozy Mistery #7),Kate Carlisle,9788419599377,Mystery Thriller & Crime,Not Read
Crimen descatalogado(Colección Cozy Mistery #3),Miranda James,9788418933608,Mystery Thriller & Crime,Not Read
Asesinato a las finas hierbas (Colección Cozy Mistery #10),Krista Davis,9788419599438,Mystery Thriller & Crime,Not Read
El imperio de marfil (Temerario #4),Naomi Novik,9788419030177,Fantasy,Not Read
Shanghái Inmortal,A.Y. Chao,9789569957383,Fantasy,Not Read
Fuimos los afortunados,Georgia Hunter,9786289591934,Historical,Not Read
Tríada (Memorias de Idhún #2),Laura Gallego,9788467505597,Fantasy,Not Read
Panteón (Memorias de Idhún #3),Laura Gallego,9786073805636,Fantasy,Not Read
La chica que jugaba al ajedrez en Auschwitz,Gabriella Saab,9788419620385,Historical,Not Read
Misterio en el club de lectura (Colección Cozy Mistery #9),Ellery Adams,9788419599407,Mystery Thriller & Crime,Not Read
Años turbulentos (El café del Ángel #2),Anne Jacobs,9789566129639,Historical,Not Read
Para el lobo (Wilderwood #1),Hannah Whitten,9788419266880,Fantasy,Not Read
Promesas crueles (Letters of Enchantment #2),Rebecca Ross,9788419252654,Fantasy,Not Read
El último refugio. Las hermanas judías que acompañaron en el final de sus días a Ana Frank.,Roxane Van Iperen,9789504973355,Historical,Not Read
La hija de Auschwitz,Tova Friedman,9789588763903,Non-Fiction,Not Read
Todo lo Perdido y Encontrado,Lucy Foley,9788416690404,Historical,Not Read
Donde mora la oscuridad,A.B. Poranek,9788419252517,Fantasy,Not Read
De parte de la princesa muerta,Kenize Mourad,9789569973451,Historical,Not Read
Los frágiles hilos del poder,Victoria Schwab,9788419030665,Fantasy,Not Read
El juego de los deseos,Meg Schaffer,9788419030559,Fantasy,Not Read
Radio Silencio,Alice Oseman,9789877479911,Romance,Not Read
El libro de Gothel,Mary Mcmyne,9786077487043,Fantasy,Not Read
Roxy,Neal Shusterman,9788418440991,Mystery Thriller & Crime,Not Read
De vuelta a casa,Mauren Lee,9788415893325,Historical,Not Read
Ritos de primavera,Carmen Romero Lorenzo,9786077486985,Fantasy,Not Read
La dama de la guerra,Marie Benedict,9789584294289,Historical,Not Read
A la sombra de Einstein,Marie Benedict,9789569973048,Historical,Not Read
El corazón del guerrero del Sol,Sue Lynn Tan,9788419030511,Fantasy,Not Read
La Sanadora de Zalindov (The prison Healer #1),Lynette Noni,9789566196228,Fantasy,Not Read
Un mar sin estrellas,Erin Morgenstern,9788419030320,Fantasy,Not Read
Asesina de dioses,Hannah Kaner,9788419030672,Fantasy,Not Read
El secreto de Agatha,Marie Benedict,9788408248217,Historical,Not Read
Las Aventuras de Amina Al-Sirafi,Chakraborty Shannon,9788419030566,Fantasy,Not Read
La estratega de la Cítara,Joan He,9788419252272,Fantasy,Not Read
El arte de la profecía (War Arts #1),Wesley Chu,9788419030603,Fantasy,Not Read
El asesinato del señor Wickam,Claudia Gray,9788419030467,Mystery Thriller & Crime,Not Read
Una venganza para mi enemigo,Olivie Blake,9788419030597,Fantasy,Not Read
La paradoja de Atlas (Seis de Atlas #2),Olivie Blake,9788419030092,Fantasy,Not Read
Valientemente,Maggie Stiefvater,9789564084596,Fantasy,Not Read
Un fuego eterno,Rebecca Ross,9788419030313,Fantasy,Not Read
La partida final,John Donoghue,9789564082271,Historical,Not Read
Las chicas de la radio,Eva Wagendorfer,9789569973512,Historical,Not Read
El secreto de la librera de París,Lily Graham,9788419620095,Historical,Not Read
La leyenda del Último Reino,Amelie Wen Zhao,9786289591835,Fantasy,Not Read
La guerra de la Amapola (La guerra de la Amapola #1),R.F. Kuang,9788419266903,Fantasy,Not Read
El manzano,Christian Berkel,9788491396468,Historical,Not Read
Agnes Grey,Anne Brontë,9788418008108,Literary,Not Read
El ejército de Hitler,Omer Bartov,9788490608784,Non-Fiction,Not Read
Yumi y el pintor de pesadillas,Brandon Sanderson,9788419260024,Fantasy,Not Read
Un Final Llamado Inés,Daniela Viviani,9789564083476,Historical,Not Read
Víctor 1907,Daniela Viviani,9789563607314,Historical,Not Read
Un Príncipe Encantador,Alison Cochrun,9788419131010,Romance,Not Read
Las Mujeres Weyward,Emilia Hart,9788419030252,Fantasy,Not Read
Portofino 1926,J. P. O Connell,9788408269748,Historical,Not Read
Todas las Vidas de Eva Ki,Cristian Acevedo,9788416517800,Fantasy,Not Read
El Libro de Cocina de la Señorita Eliza,Annabel Abbs,9789564081236,Historical,Not Read
La chica que nos devolvió el mar,Adrienne Young,9788417854805,Fantasy,Not Read
La enciclopedia de hadas de Emily Wilde (Emily Wilde Enciclopedia de Hadas #1 ),Heather Fawcett,9788419030139,Fantasy,Not Read
Una lección de tinta y venganza,Victoria Lee,9789567042890,Fantasy,Not Read
El fin de la Historia,Sarah Dessen,9788417222789,Romance,Not Read
Los secretos del Kremlin,Bernard Lecomte,9789500299817,Non-Fiction,Not Read
El filo de la navaja,Somerset Maugham,9789962724070,Historical,Not Read
"Mañana, y Mañana, y Mañana",Gabrielle Zevin,9788411481489,Literary,Not Read
El caso Christie,Nina de Gramont,9788419030023,Mystery Thriller & Crime,Not Read
Historias de Esperanza,Heather Morris,9789569956690,Historical,Not Read
El Secreto Fabergé,Charles Belfoure,9789564080796,Historical,Not Read
Bromance. Club de lectura para caballeros,Lyssa Kay Adams,9789877479072,Romance,Not Read
Cielos rebeldes (Rebel Skies #1),Ann Sei Lin,9788418797934,Fantasy,Not Read
La princesa del Champán,Anette Fabiani,9788419449498,Historical,Not Read
Un reino por teatro (Shadow Players #2),Heidi Heilig,9788417854829,Fantasy,Not Read
Una musa de fuego (Shadow Players #1),Heidi Heilig,9788492918409,Fantasy,Not Read
Coronas Gemelas (Coronas Gemelas #1),Katherine Webber,9788419266262,Fantasy,TBR
La mujer de blanco,William Wilkie Collins,9788418395147,Literary,Not Read
Ella que Llegó a ser el sol,Shelly Parker Chan,9788419030108,Historical,Not Read
¿Y si Fuéramos Nosotros?,Becky Albertalli,9788492918164,Romance,Not Read
El diccionario de las palabras olvidadas,Pip Williams,9788419110558,Contemporary,Not Read
La naturaleza de las brujas,Rachel Griffin,9788419252142,Fantasy,Not Read
Tras la sombra de un submarino,Robert Kurson,9788411000390,Historical,Not Read
El agua de la vida,Sara Gruen,9789563602340,Historical,Not Read
La luz en lugares ocultos,Sharon Cameron,9788417854393,Historical,Not Read
Las chicas del gueto,V.S. Alexander,9789564083438,Historical,Not Read
Las rosas olvidadas,Martha Hall Kelly,9788418185311,Historical,Not Read
Las mujeres de la casa de las lilas,Martha Hall Kelly,9788418185175,Historical,Not Read
Centinela de los sueños,Emilio Lara,9788435063685,Historical,Not Read
Tiempo de secretos en Deverill (Deverill Chronicles #4),Santa Montefiore,9788417421397,Historical,Not Read
El último secreto de los Deverill (Deverill Chronicles #3),Santa Montefiore,9788416327782,Historical,Not Read
Las hijas del castillo Deverill (Deverill Chronicles #2),Santa Montefiore,9788416327768,Historical,Not Read
Canciones de amor y guerra (Deverill Chronicles #1),Santa Montefiore,9788416517145,Historical,Not Read
La asesina y el príncipe (Graceling #1),Kristin Cashore,9789566196068,Fantasy,Not Read
El corazón de la bruja,Genevieve Gornichec,9788416517749,Fantasy,Not Read
Tiempo de Mujeres,Carmen Korn,9789563608588,Historical,Not Read
Hijas de una nueva era,Carmen Korn,9789584287267,Historical,Not Read
Las cuatro amigas,Carmen Korn,9788408254652,Historical,Not Read
La otra mujer,Daniel Silva,9788491393504,Historical,Not Read
La sonrisa del demonio,Tessa Gratton,9789874132932,Fantasy,Not Read
