titulo,autor
BESAME EN MITAD DE LA TORMENTA,SARAI MARTIN
LA ULTIMA CARTA,PEDRO RUIZ
LA ULTIMA CUENTISTA,DONNA BARBA HIGUERA
LA ULTIMA VEZ QUE PIENSO EN TI,BLUE JEANS
LADY MACBETH,AVA REID
LARGA VIDA AL REY,JENNIFER L. ARMENTROUT
LAS CENIZAS Y EL REY MALDITO,CARISSA BROADBENT
LAS COSAS MAS PRECIOSAS,REBECCA YARROS
LAS HERMANAS BLUE,COCO MELLORS
LAS SIRENAS,EMILIA HART
LAYLA,COLLEEN HOOVER
LA LECTURA DE VERANO,EMILY HENRY
LLEVAME A CUALQUIER LUGAR,ALICE KELLEN
LO QUE LA NIEVE SUSURRA AL CAER,MARIA MARTINEZ
LOS BRUJOS DEL FIN DEL MUNDO,MIGUEL FERRADA
LOS DOS AMORES DE MI VIDA,TAYLOR JENKINS REID
LOS JUEGOS DEL HAMBRE,SUZANNE COLLINS
LOS SIETE MARIDOS DE EVELYN HUGO,TAYLOR JENKINS REID
LOS ULTIMOS DIAS DE CLAYTON & CO,FRANCISCA HERAS
MADAME BOVARY,GUSTAVE FLAUBERT
MAGIA EN LA CALLE NAVIDAD,IVY PEMBROKE
UN MAPA DE TIERRAS EXTRAñAS,ALWYN HAMILTON
MAS QUE UNA POSIBILIDAD,MARIA MARTINEZ
MASCARA DE GATO,FRANCESCA ZAPPIA
MAXTON HALL,MONA KASTEN
MEDIUM,SILVIA ROSSI
MEJOR QUE EN LAS PELICULAS,LYNN PAINTER
LA MELODIA DE LA MEMORIA,ALYSON RICHMAN
MENTIRAS A DOBLE FILO,CARISSA BROADBENT
MENU PARA DOS,CASEY MCQUISTON
LA MESA DE LOS SOLTEROS,VI KEELAND
MI NOMBRE ES EMILIA DEL VALLE,LORENA PRONSKY
MI QUERIDO RIVAL,ALEXANDRA MOODY
MIL RECUERDOS TUYOS,INMA RUBIALES
NADA COMO EN LAS PELICULAS,LYNN PAINTER
NADA DE ESTO ES VERDAD,LISA JEWELL
NAVIDAD FUN,MEGAN MAXWELL
NEGOCIOS O PLACER,RACHEL LYNN SOLOMON
NIGHTFALL,PENELOPE DOUGLAS
NO CONFIES EN ASHER HALL,J. S. LARK
NO DEBERIAMOS,VI KEELAND
NO DEBIA SER ASI,INMA RUBIALES
NO ES AMOR,ALI HAZELWOOD
NO ESTAS EN LA LISTA,ALISON ESPACH
NOCHE DE CABALLEROS,ALEXENE FAROL FOLLMUTH
NOSOTROS EN LA LUNA,ALICE KELLEN
NOVA,REBECCA YARROS
NUESTRA DESQUICIADA HISTORIA DE AMOR,KANDI STEINER
NUESTRO LARGO ADIOS,MEGAN MAXWELL
NUESTRO LUGAR EN EL MUNDO,ALICE KELLEN
UN NUEVO ENGAÑO,CARMEN ARANDA
NUNCA OLVIDES QUE TE QUIERO,"NICHOLAS SPARKS, M. NIGHT SHYAMALAN"
OJALA ESTA FUERA NUESTRA HISTORIA DE AMOR,ANDREA LONGARELA
"OYE, DIABLA",JULIA DE LA FUENTE
PABELLON 57,CARLOS BASSO
UN PACTO ELECTRIZANTE,MEGHAN QUINN
PECADOR,SIERRA SIMONE
PERDIDO,DEVNEY PERRY
PESADILLA EN NAVIDAD,TIM BURTON
PRIMER AMOR,IVAN TURGUENEV
PROMESAS OSCURAS,CHRISTINE FEEHAN
PUCKING AROUND,EMILY RATH
QUE ENTIERREN NUESTROS HUESOS EN LA MEDIANOCHE,V. E. SCHWAB
QUEDARA EL AMOR,ALICE KELLEN
QUERIDO VECINO,PENELOPE WARD
QUIZAS EN OTRA VIDA,TAYLOR JENKINS REID
"RECUERDAME, ALICE",MARTA SANTES
REINA DEL ESTIO,CARMEN ROMERO LORENZO
REY DE LA CODICIA,ANA HUANG
REY DE LA DESIDIA,ANA HUANG
REY DE LA IRA,ANA HUANG
REY DE LA SOBERBIA,ANA HUANG
ROMPER EL CIRCULO,COLLEEN HOOVER
UNA ROSA MALDITA,REBECCA ZANETTI
ROSE IN CHAINS,SARAH RIVENS
SAY YOU SWEAR,MEAGAN BRANDY
SECRETO,L. J. SHEN
EL SECRETO DE SU MENTE,MARIE BENEDICT
LOS SECRETOS DEL HOTEL JARDIN DE ODETTE,BRUNO PUELES
SEIS GRULLAS,ELIZABETH LIM
SEIS LITROS PROMEDIO,J. S. LARK
LA SERPIENTE Y LAS ALAS DE LA NOCHE,CARISSA BROADBENT
SI FUERAMOS ETERNOS,EMMA GIL
SIEMBRA NEGRA,JESUS DIAMANTINO
SIEMPRE FUISTE TU,MADELINE BAKER
SIGHT UNSEEN,ALEXIS MARIE
UNA SONATA DE VERANO,JULIA QUINN
SONO UN VIOLIN EN PARIS,MARIA REIG
SPIRAL,BAL KHABRA
TE ODIO CON AMOR,JO WATSON
TE RECETO UN GATO,SYOU ISHIDA
TEORIA KIM,INMA RUBIALES
TERAPIA PARA LLEVAR,ANA PEREZ
THE DEFENDER,ANA HUANG
THE LUCKY ONES,LIZ LAWSON
THE STRIKER,ANA HUANG
THIS IS OUR TIME,TREVIN WAX
TODOS NUESTROS RECUERDOS,MELISSA WIESNER
