TÍTULO,AUTOR,EDICIÓN,ISBN
La guía para la vida de las amikas,María José Castro y Valeria Luna,Tapa blanda,9789563607635
Chilenas rebeldes,María José Cumplido,Tapa blanda,9789568474904
Nuestras sombras,María Teresa Budge,Tapa blanda,9789563163834
La profecía de Aztlán (Saga Hércules y Lincoln 4),Mario Escobar,Tapa blanda,9788498005158
Si Buda fuera taxista,Mario Luis Reyes Escudero,Tapa blanda,9788491113294
El Padrino,Mario Puzo,Tapa blanda,9788490707616
El Ultimo Don,Mario Puzo,Tapa blanda,9788440676009
Cinder (Crónicas lunares 1),Marissa Meyer,Tapa blanda,9789876129275
Cress (Crónicas lunares 3),Marissa Meyer,Tapa blanda,9789877470338
Fairest: La historia de Levana (Crónicas lunares 3.5),Marissa Meyer,Tapa blanda,9789877470932
Heartless,Marissa Meyer,Tapa blanda,9789877472547
Scarlet (Crónicas lunares 2),Marissa Meyer,Tapa blanda,9789876129909
Stars Above (Crónicas lunares 4.5),Marissa Meyer,Tapa blanda,9789877472387
Winter (Crónicas lunares 4),Marissa Meyer,Tapa blanda,9789877471915
Wires and Nerve (Volumen 2),Marissa Meyer,Tapa dura,9789877474053
Wires and Nerve (Volumen 1),Marissa Meyer,Tapa dura,9789877473124
"Dorado, violeta y verde menta (Deseos prohibidos 1)",Marta Santés,Tapa blanda,9788419131041
Frankenstein,Mary Wollstonecraft Shelley,Tapa blanda,9789563608168
Frankenstein,Mary Wollstonecraft Shelley,Tapa dura,9788415618799
Te deseo todo lo mejor,Mason Deaver,Tapa blanda,9786070767425
Dientes de Dragón,Michael Crichton,Tapa blanda,9789569646522
El Dique (Blackwater 2),Michael McDowell,Tapa blanda,9789878453521
La Riada (Blackwater 1),Michael McDowell,Tapa blanda,9789878453507
Los brujos del fin del mundo,Miguel Ferrada,Tapa blanda,9789566402251
Panchiko,Min Jin Lee,Tapa blanda,9788494716966
Seis Litros promedio,Mirella Granucci,Tapa blanda,9789561238169
La vida de los elfos,Muriel Barbery,Tapa blanda,9789507318627
Dos leones,Nagisa Furuya,Tapa blanda,9788413417042
El último graduado (The Scholomance 2),Naomi Novik,Tapa blanda,9786077483694
Los enclaves dorados (The Scholomance 3),Naomi Novik,Tapa blanda,9789566196341
Una Educación Mortal (The Scholomance 1),Naomi Novik,Tapa blanda,9789567042548
American Gods (American gods 1),Neil Gaiman,Tapa blanda,9788415729204
Los hijos de Anansi (American gods 2),Neil Gaiman,Tapa blanda,9788416859689
El caso Christie,Nina De Gramont,Tapa blanda,9789567042999
La Doctora Cole (Cole family trilogy 3),Noah Gordon,Tapa blanda,9788495501929
El fantasma de Canterville y otros cuentos,Oscar Wilde,Tapa dura,9788467050646
El retrato de Dorian Gray,Oscar Wilde,Tapa blanda,9788496975811
El Perfume,Patrick Süskind,Tapa blanda,9789562479301
Blade Runner: ¿Sueñan los androides con ovejas eléctricas?,Philip K. Dick,Tapa blanda,9788445000205
El hombre en el castillo,Philip K. Dick,Tapa blanda,9788445075616
Las culpas de Midas (Van In 2),Pieter Aspe,Tapa blanda,9788466645126
La diamantista de la emperatriz,Pilar de Arístegui,Tapa dura,9788466637671
Attachments,Rainbow Rowell,Tapa blanda,9789569583513
Fangirl,Rainbow Rowell,Tapa blanda,9789563478150
Fahrenheit 451,Ray Bradbury,Tapa blanda,9788445071168
Fahrenheit 451 (Novela gráfica),Ray Bradbury,Tapa dura,9788466346818
Ídolo en llamas,Rin Usami,Tapa blanda,9788412669725
El librero,Roald Dahl,Tapa dura,9788416440634
El Diablo En La Botella,Robert Louis Stevenson,Tapa blanda,9789876275880
El extraño caso de Dr. Jekyll y Mr. Hyde ,Robert Louis Stevenson,Tapa dura,9788417430467
Un verdadero Mago,Roberto Fuentes,Tapa blanda,9789566021728
Las naves de la locura (The Liveship Traders 2),Robin Hobb,Tapa blanda,9789506443542
Las naves del destino (The Liveship Traders 3),Robin Hobb,Tapa blanda,9786073135306
Las Naves De La Magia (The Liveship Traders 1),Robin Hobb,Tapa blanda,9789506443474
Barbarian Alien (Ice planet barbarians 2),Ruby Dixon,Tapa blanda,9789564084756
Ice Planet Barbarians (Ice planet barbarians 1),Ruby Dixon,Tapa blanda,9789564083520
El Libro De La Selva,Rudyard Kipling,Tapa dura,9789563163513
Ranma ½ (26),Rumiko Takahashi,Tapa blanda,9789871071029
Audición,Ryū Murakami,Tapa blanda,9789569673191
Old-Fashioned Cupcake with Capuccino,Sagan,Tapa blanda,9788411617253
Casa de cielo y aliento (Ciudad de Medialuna 2),Sarah J. Maas,Tapa blanda,9789877388787
Casa de flama y sombra (Ciudad de Medialuna 3),Sarah J. Maas,Tapa blanda,9786073841146
Casa de tierra y sangre (Ciudad de Medialuna 1),Sarah J. Maas,Tapa blanda,9789563842036
Una corte de alas y ruina (ACOTAR 3),Sarah J. Maas,Tapa blanda,9789584297983
Una corte de hielo y estrellas (ACOTAR 4),Sarah J. Maas,Tapa blanda,9789584297990
Una corte de llamas plateadas (ACOTAR 5),Sarah J. Maas,Tapa blanda,9789584297297
Una corte de niebla y furia (ACOTAR 2),Sarah J. Maas,Tapa blanda,9789584297976
Una corte de rosas y espinas (ACOTAR 1),Sarah J. Maas,Tapa blanda,9789584297969
La vidente de los reinos,Sasami Hanatsuki,Tapa blanda,9789568648466
Mas allá de la tormenta: una voz en el silencio,Sasami Hanatsuki,Tapa blanda,9789563688566
Misión en el planeta Yugot,Sasami Hanatsuki,Tapa blanda,9789563381054
Ocaso de un reino,Sasami Hanatsuki,Tapa blanda,9789568648268
La habitación prohibida (La Sociedad Juliette 2),Sasha Grey,Tapa blanda,9789562584821
La Sociedad Juliette (La Sociedad Juliette 1),Sasha Grey,Tapa blanda,9789502806792
El pacto de la rosa (The rose bargain 1),Sasha Peyton Smith,Tapa dura,9788410239289
Alchemised,SenLinYu,Tapa blanda,9780593972700
Octocéfalo,Sergio Alejandro Amira,Tapa blanda,9789562649841
El bosque de las cosas perdidas,Shea Ernshaw,Tapa blanda,9788492918867
"Samsara: Bienvenida, eternidad",Soledad Arriagada Espinoza,Tapa blanda,9789569184000
La revuelta,Sonia Montecino,Tapa blanda,9789563036794
El gato que amaba los libros (El gato que 1),Sōsuke Natsukawa,Tapa blanda,9788425359934
Muerte a la oscuridad (Black Bird Academy 1),Stella A. Tack,Tapa dura,9788410399013
Legendary (Caraval 2),Stephanie Garber,Tapa blanda,9789567042661
Caraval (Caraval 1),Stephanie Garber,Tapa blanda,9789567042654
Érase una vez un corazón roto (Once upon a broken heart 1),Stephanie Garber,Tapa blanda,9789567042715
Finale (Caraval 3),Stephanie Garber,Tapa blanda,9789567042678
Un regalo de mi gran amor,Stephanie Perkins,Tapa dura,9786073149679
Buick 8 Un Coche Perverso,Stephen King,Tapa blanda,9789875660175
Carrie,Stephen King,Tapa blanda,9789500731607
Carrie (50 Aniversario),Stephen King,Edición especial,9788401035777
La segunda vida de Bree Tanner (Crepúsculo 3.5),Stephenie Meyer,Tapa blanda,9788420406268
Midnight Sun (Crepúsculo 5),Stephenie Meyer,Tapa dura,9780316707046
Los hombres que no amaban a las mujeres (Millennium 1),Stieg Larsson,Tapa blanda,9788423349555
El año de las desapariciones (Ethical Vampire 2),Susan Hubbard,Tapa blanda,9788466641883
La sociedad de la sangre (Ethical Vampire 1),Susan Hubbard,Tapa blanda,9788466640671
Amanecer en la Cosecha,Suzanne Collins,Tapa blanda,9789566146414
Balada de pájaros cantores y serpientes,Suzanne Collins,Tapa blanda,9788427220287
En llamas (Los juegos del hambre 2),Suzanne Collins,Tapa blanda,9789878120218
Los Juegos Del Hambre (Los juegos del hambre 1),Suzanne Collins,Tapa blanda,9789876091657
Sinsajo (Los juegos del hambre 3),Suzanne Collins,Tapa blanda,9789878120225
Heartsong. La canción del corazón (Green creek 3),T.J. Klune,Tapa blanda,9789877477009
La canción de los hermanos (Green Creek 4),T.J. Klune,Tapa blanda,9789877478136
La canción del cuervo (Green Creek 2),T.J. Klune,Tapa blanda,9789877476606
La canción del lobo (Green Creek 1),T.J. Klune,Tapa blanda,9789877475173
Atmosphere: Una historia de amor,Taylor Jenkins Reid,Tapa blanda,9789566402145
Los siete maridos de Evelyn Hugo,Taylor Jenkins Reid,Tapa dura,9788419030733
Todos quieren a Daisy Jones,Taylor Jenkins Reid,Tapa blanda,9788417552879
La herida de la esfinge (capriccio romántico),Terenci Moix,Tapa dura,8423916928
Las nueve vidas de Jeremy,Thierry Cohen,Tapa dura,9788466639859
La Muerte en Venecia,Thomas Mann,Tapa blanda,9789561315433
El laberinto de la rosa,Titania Hardie,Tapa blanda,9788483650462
Feather Girl: La chica que tenía pájaros en la cabeza,Tonya Hurley,Tapa blanda,9788420486376
Mil pasos al interior de la noche,Traci Chee,Tapa blanda,9788412669749
La vida invisible de Addie LaRue,V.E. Schwab,Tapa blanda,9789567042357
Concilio de sombras (Sombras de magia 2),V.E. Schwab,Tapa blanda,9789569963551
