titulo,autor,genero,editorial,precio,stock,encuadernacion
EL VALS DE LA BRUJA,BELEN MARTINEZ,FANTASIA,URANO,0,0,
EL VERDUGO,PÄR LAGERKVIST,FICCION GENERAL,ANDRES BELLO,0,0,
EN LAS NUBES,LAURA CHICA,FICCION GENERAL,PLANETA,0,0,
EN LO MAS PROFUNDO,JENNIFER E. ARCHER,ROMANCE,PLANETA,0,1,
UN ENCANTAMIENTO FRAGIL,REBECCA ROSS,ROMANTASY,URANO,0,0,
ENTRE TU Y YO,NORA ROBERTS,ROMANCE,HARLEQUIN,0,0,
ERES EL AMOR DE MI OTRA VIDA,GILRAEN EÄRFALAS,ROMANCE,PLANETA,0,0,
ESCANDALO REAL,CAT SCHIELD,ROMANCE,HARLEQUIN,0,0,
PUNK 57,PENELOPE DOUGLAS,DARK ROMANCE,PLANETA,0,0,
ESCAPARATE NAVIDEñO,JENNY COLGAN,ROMANCE,VERGARA (PRH),0,0,
ESNOB,ELISABET BENAVENT,ROMANCE,SUMA,0,0,
ETEREO,JOANA MARCUS,ROMANCE,PLANETA,0,0,
FEARFUL,SARAH RIVENS,DARK ROMANCE,PLANETA,0,0,
FELICES PARA NUNCA,LYNN PAINTER,ROMANCE,URANO,0,0,
FINGE QUE ME QUIERES,ELENA ARMAS,ROMANCE,PLANETA,0,0,
FIVE BROTHERS,PENELOPE DOUGLAS,DARK ROMANCE,CHIC EDITORIAL,0,5,
FLAWLESS,ELSIE SILVER,ROMANCE,CHIC EDITORIAL,0,1,
LA FRAGILIDAD DE UN CORAZON BAJO LA LLUVIA,MARIA MARTINEZ,ROMANCE,PLANETA,0,1,
GAIJIN,MAXIMILIANO MATAYOSHI,HISTORICO,ODELIA EDITORA,0,0,
GENTE QUE CONOCEMOS EN VACACIONES,EMILY HENRY,ROMANCE,PLANETA,0,0,
"GIULIA, EL AMOR Y UN PUÑADO DE LAVANDA",CHERRY CHIC,ROMANCE,PLANETA,0,1,
GRIMM MORTAL,GENA SHOWALTER,ROMANTASY,HARLEQUIN,0,0,
GUARDIANA DE LIBROS,MADELINE MARTIN,HISTORICO,HARPERCOLLINS,0,0,
GUARDIANES. LOS CONDENADOS,BELEN CERECEDA,FANTASIA,URANO,0,7,
GUÍA DE BRUJAS PARA CITAS FALSAS CON UN DEMONIO,ASHLEY POSTON,ROMANCE,URANO,0,0,
HAS LLAMADO A SAM,DUSTIN THAO,ROMANCE,PLANETA,0,0,
HASTA QUE CAIGA LA LUNA,SARAH RIVENS,ROMANTASY,PENGUIN,0,5,
HASTA QUE NOS QUEDEMOS SIN ESTRELLAS,INMA RUBIALES,ROMANCE,PLANETA,0,1,
HECHICERA DE HUESOS,KATHRYN PURDIE,ROMANTASY,URANO,0,0,
HIDEAWAY,PENELOPE DOUGLAS,DARK ROMANCE,CHIC EDITORIAL,0,0,
HIJOS DORADOS,PATRICIA BARCENA,THRILLER,URANO,0,1,
LA HIPOTESIS DEL AMOR,ALI HAZELWOOD,ROMANCE,CONTRALUZ,0,0,
HOY SE LO DIGO,INMA RUBIALES,ROMANCE,PLANETA,0,0,
HUNDIDA,COLLEEN HOOVER,ROMANCE,PLANETA,0,0,
IDILICO,MIA VARINIA,DARK ROMANCE,INDEPENDIENTE,0,1,
INVOCACION,ST GIBSON,FANTASIA,URANO,0,4,
ISLA DE DIOSES,HANNAH KANER,FANTASIA,URANO,0,0,
LA ISLA DE LOS ANHELOS,SARAH JIO,ROMANCE,PLANETA,0,0,
JOSH Y HAZEL: GUIA PARA EL FRACASO AMOROSO,CHRISTINA LAUREN,ROMANCE,PLANETA,0,5,
JUEGO DE DOS,VI KEELAND,ROMANCE,CHIC EDITORIAL,0,0,
JUEGO DE REINAS,KATHARINE MCGEE,ROMANCE,URANO,0,1,
JULIETTE Y LAS CANCIONES,JANE FEATHER,HISTORICO,LIBROS DE SEDA,0,0,
JUNTOS EN LA HOGUERA,ISABEL IBAÑEZ,ROMANTASY,URANO,0,0,
KILLSWITCH,PENELOPE DOUGLAS,DARK ROMANCE,CHIC EDITORIAL,0,0,
LA ASESINA DEL REY,MELISSA BLAIR,ROMANTASY,PLANETA,0,0,
LA CHICA QUE OIA A LOS MUERTOS,ANNE GRIFFIN,FICCION GENERAL,URANO,0,0,
LA ECUACION DE AMOR,HELEN HOANG,ROMANCE,PLANETA,0,0,
