Título,Autor(a)
El Retrato de Dorian Gray,Oscar Wilde
La Luna Sobre El Soho,Ben Aaronovitch
El Niño En La Cima de La Montaña,John Boyne
Sombras Quemadas,Kamila Shamsie
El último día de Adolf Hitler,David Solar
La catadora de Hitler,V.S. Alexander
El triángulo de oro,Maurice Leblanc
Familias fatales,Ben Aaronovitch
Madame Bovary,Gustave Flaubert
Nos vemos allá arriba,Pierre Lemaitre
Una Obsesion Perversa,Victoria Schwab
Querida señora Bird,A.J. Pearce
Sangre azul,Danielle Steel
"Hitler, los alemanes y la solución final",Ian Kershaw
Una Venganza Mortal,Victoria Schwab
De noche sueño con la paz,Caroline Ulreich
"Arsenio Lupin, caballero-ladrón",Maurice Leblanc
Un Rio Encantado,Rebecca Ross
El Secreto de las Nubes,Alyson Richman
Diario,Hélène Berr
Cuentos de Los Hermanos Grimm,Wilhelm Grimm
La estación de las tormentas (La estación de las tormentas 1),Charlotte Link
Crónica de la Guerra Europea 1914-1918,Vicente Blasco Ibáñez
El tatuador de Auschwitz,Heather Morris
El Castillo Negro,Gaston Leroux
La Sombra del Viento,Carlos Ruiz Zafón
Las mujeres de la orquesta roja,Jennifer Chiaverini
El Último Mago,Lisa Maxwell
Las Aguas Rebeldes,Sara Raasch
Las furias invisibles del corazón,John Boyne
La red de Alice,Kate Quinn
La princesa de invierno,Paula Gallego
Reinos de cristal (Marabilia #5),Iria G. Parente Selene M. Pascual
