Título,Autor(a)
La muerte de las cuatro reinas,Astrid Scholte
Los testamentos,Margaret Atwood
Loveless,Alice Oseman
El mayor Pettigrew se enamora,Helen Simonson
Cómo conocí a mi marido,Ryosuke Nanasaki
Hooky (Hooky #2),Míriam Bonastre Tur
Brothersong (Green Creek #4),T. J. Klune
El jardín secreto,Frances Hodgson Burnett
El cuento de la criada,Margaret Atwood
El Regreso de Carrie Soto,Taylor Jenkins Reid
La chica del abrigo azul,Monica Hesse
Suite Francesa (Novela Gráfica),Irène Némirovsky
El Trono de jade (Temerario #2),Naomi Novik
Voces de Chernóbil,Svetlana Alexiévich
Éramos el enemigo ,George Takei
Un chico y su perro en el fin del mundo,C.A. Fletcher
Ladrones de libertad (Marabilia #3),Iria G. Parente Selene M. Pascual
Pétalos de Papel,Iria G. Parente Selene M. Pascual
Títeres de magia (Marabilia #2),Iria G. Parente Selene M. Pascual
Los Amantes de Praga,Alyson Richman
La Canción de Las Hermanas,Rebecca Ross
La misión de Rox (Guardianes de la Ciudadela 3),Laura Gallego
Los dos Amores de mi Vida,Taylor Jenkins Reid
El Secreto de Xein (Guardianes de la Ciudadela 2),Laura Gallego
Mujeres Que Nacieron Diferentes,Anna Riera
La niña que miraba los trenes partir,Ruperto Long
El bestiario de Axlin (Guardianes de la Ciudadela #1),Laura Gallego
All Night Long,Muno
Mitos De La Segunda Guerra Mundial #2,Jean Lopez
La Luz Que No Puedes Ver,Anthony Doerr
Los Siete Maridos de Evelyn Hugo,Taylor Jenkins Reid
Dime quién soy,Julia Navarro
El oso y el ruiseñor,Katherine Arden
Historia en Segundos,Sandra Lawrence
Sueños de piedra,Iria G. Parente Selene M. Pascual
El Orgullo del Dragón (El dragón y el unicornio #1),Iria G. Parente Selene M. Pascual
El Dragón de Su Majestad (Temerario #1),Naomi Novik
Anne sin filtros,Iria G. Parente Selene M. Pascual
Los por qué de la historia 3,Stephane Bern
Sabemos cómo vamos a morir,Paco Ignacio Taibo II
Los por qué de la historia 2,Stephane Bern
¿Quién traicionó a Ana Frank?: La investigación que revela el secreto jamás contado,Rosemary Sullivan
Tiempo de resurgir (La mansión #3),Anne Jacobs
El Cuaderno de Desafios de Dash & Lily,Rachel Cohn
Los niños de Willesden Lane,Mona Golabek
Sherlock Holmes Tomo iii. Obra Completa,Arthur Conan Doyle
Perdida,Gillian Flynn
Viajeros Intrepidos,Montse Ganges
Una promesa de cien años,María Ignacia Urzúa Reyes
Marte: La Próxima Frontera,José Maza
Criminales nazis del exterminio,Ernesto Frers
Fugas y Evasiones de La Segunda Guerra Mundial,Pedro Pablo G. May
